Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[comp.sys.mac.hardware]	DS_Pr[comp.graphics]	DS_Pr[comp.os.ms-windows.misc]	MV_Pr[comp.sys.mac.hardware]	MV_Pr[comp.graphics]	MV_Pr[comp.os.ms-windows.misc]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
10000	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10001	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10002	comp.os.ms-windows.misc	comp.sys.mac.hardware	comp.sys.mac.hardware	comp.sys.mac.hardware	comp.sys.mac.hardware	1.0000	0.0000	0.0000	0.8750	0.0000	0.1250	0.0000	0.2188	0.0000	0.1250	0.0000	0.1250	0.6658	0.6429	1.0000	1.0000	1.0000	1.0000	1.0000	0.8750	100.00%	80.56%	100.00%	65.98%	100.00%	80.56%	-55.53%	-55.53%	-55.53%	-55.53%	-55.53%	-36.09%
10003	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10004	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10005	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10006	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10007	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
10008	null	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6658	0.6429	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
10009	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	comp.os.ms-windows.misc	0.0000	0.0000	1.0000	0.1250	0.0000	0.8750	0.0000	0.2188	0.0000	0.1250	0.0000	0.1250	0.6658	0.6429	0.0000	0.0000	0.0000	0.0000	0.0000	0.1250	100.00%	80.56%	100.00%	65.98%	100.00%	80.56%	100.00%	100.00%	100.00%	100.00%	100.00%	80.56%
