Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[GENV]	DS_Pr[GWEA]	DS_Pr[GDIS]	MV_Pr[GENV]	MV_Pr[GWEA]	MV_Pr[GDIS]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
0	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
1	GDIS	GDIS	GENV	GDIS	GENV	0.4397	0.0032	0.5571	0.5000	0.0000	0.5000	0.4963	0.5000	0.4429	0.5000	0.4429	0.5000	0.6240	0.5052	0.0000	1.0000	0.0000	1.0000	0.4429	0.5000	12.34%	1.04%	1.77%	1.04%	12.34%	1.04%	100.00%	-97.93%	100.00%	-97.93%	12.34%	1.04%
10	GDIS	GDIS	GDIS	GDIS	GENV	0.4397	0.0032	0.5571	0.5000	0.0000	0.5000	0.4963	0.5000	0.4429	0.5000	0.4429	0.5000	0.6240	0.5052	0.0000	1.0000	0.0000	1.0000	0.4429	0.5000	12.34%	1.04%	1.77%	1.04%	12.34%	1.04%	100.00%	-97.93%	100.00%	-97.93%	12.34%	1.04%
100	GDIS	GDIS	GDIS	GDIS	GDIS	0.0225	0.0015	0.9760	0.2500	0.0000	0.7500	0.0469	0.3750	0.0240	0.2500	0.0240	0.2500	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0240	0.2500	95.25%	50.52%	90.72%	25.78%	95.25%	50.52%	100.00%	100.00%	100.00%	100.00%	95.25%	50.52%
1000	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	0.9999	0.0001	0.0000	1.0000	0.0000	0.0002	0.0000	0.0001	0.0000	0.0001	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	99.98%	100.00%	99.96%	100.00%	99.98%	100.00%	100.00%	100.00%	100.00%	100.00%	99.98%	100.00%
1001	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
1002	GDIS	GWEA	GWEA	GWEA	GWEA	0.0003	0.9983	0.0014	0.0000	1.0000	0.0000	0.0034	0.0000	0.0017	0.0000	0.0017	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9986	1.0000	99.66%	100.00%	99.32%	100.00%	99.66%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.65%	-97.93%
1003	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
1004	GDIS	GDIS	GDIS	GDIS	GENV	0.4397	0.0032	0.5571	0.5000	0.0000	0.5000	0.4963	0.5000	0.4429	0.5000	0.4429	0.5000	0.6240	0.5052	0.0000	1.0000	0.0000	1.0000	0.4429	0.5000	12.34%	1.04%	1.77%	1.04%	12.34%	1.04%	100.00%	-97.93%	100.00%	-97.93%	12.34%	1.04%
1005	GWEA	GWEA	GWEA	GWEA	GWEA	0.0003	0.9983	0.0014	0.0000	1.0000	0.0000	0.0034	0.0000	0.0017	0.0000	0.0017	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	99.66%	100.00%	99.32%	100.00%	99.66%	100.00%	100.00%	100.00%	100.00%	100.00%	99.66%	100.00%
1006	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
1007	GDIS	GDIS	GDIS	GDIS	GDIS	0.0225	0.0015	0.9760	0.2500	0.0000	0.7500	0.0469	0.3750	0.0240	0.2500	0.0240	0.2500	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0240	0.2500	95.25%	50.52%	90.72%	25.78%	95.25%	50.52%	100.00%	100.00%	100.00%	100.00%	95.25%	50.52%
1008	GWEA	GWEA	GWEA	GWEA	GWEA	0.0003	0.9855	0.0142	0.0000	0.6000	0.4000	0.0285	0.4800	0.0145	0.4000	0.0145	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0145	0.4000	97.13%	20.83%	94.35%	4.99%	97.13%	20.83%	100.00%	100.00%	100.00%	100.00%	97.13%	20.83%
1009	GENV	GENV	GENV	GENV	GENV	0.9182	0.0051	0.0767	0.6667	0.0000	0.3333	0.1511	0.4444	0.0818	0.3333	0.0818	0.3333	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0818	0.3333	83.80%	34.02%	70.10%	12.03%	83.80%	34.02%	100.00%	100.00%	100.00%	100.00%	83.80%	34.02%
101	GDIS	GWEA	GWEA	GWEA	GWEA	0.0529	0.9457	0.0015	0.4000	0.6000	0.0000	0.1029	0.4800	0.0544	0.4000	0.0544	0.4000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9985	1.0000	89.24%	20.83%	79.62%	4.99%	89.24%	20.83%	-97.93%	-97.93%	-97.93%	-97.93%	-97.64%	-97.93%
1010	null	GDIS	GDIS	GDIS	GDIS	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
1011	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
1012	GDIS	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.93%	-97.93%
